Symbol;Name;Country;IPO Year;Sector;Industry
SBSI;Southside Bancshares Inc. Common Stock;United States;;Finance;Major Banks
SBSW;D/B/A Sibanye-Stillwater Limited ADS;;;;
SBT;Sterling Bancorp Inc. Common Stock;United States;2017;Finance;Savings Institutions
SBTX;Silverback Therapeutics Inc. Common Stock;United States;2020;Health Care;Major Pharmaceuticals
SBUX;Starbucks Corporation Common Stock;United States;1992;Consumer Services;Restaurants
SC;Santander Consumer USA Holdings Inc. Common Stock;;2014;Finance;Finance: Consumer Services
SCA;Stellus Capital Investment Corporation 5.75% Notes due 2022;United States;;;
SCCB;Sachem Capital Corp. 7.125% Notes due 2024;United States;2019;Consumer Services;Real Estate Investment Trusts
SCCC;Sachem Capital Corp. 7.75% Notes due 2025;United States;2020;Consumer Services;Real Estate Investment Trusts
SCCO;Southern Copper Corporation Common Stock;United States;;Basic Industries;Precious Metals
SCD;LMP Capital and Income Fund Inc. Common Stock;United States;2004;;
SCE.PRG;Southern California Edison Company;;;;
SCE.PRH;Southern California Edison Company;;;;
SCE.PRJ;Southern California Edison Company;;;;
SCE.PRK;Southern California Edison Company;;;;
SCE.PRL;Southern California Edison Company;;;;
SCHL;Scholastic Corporation Common Stock;United States;1992;Consumer Services;Books
SCHN;Schnitzer Steel Industries Inc. Class A Common Stock;United States;1993;Consumer Durables;Industrial Specialties
SCHW;Charles Schwab Corporation (The) Common Stock;United States;;Finance;Investment Bankers/Brokers/Service
SCHW.PRC;The Charles Schwab Corporation;;;;
SCHW.PRD;The Charles Schwab Corporation;;;;
SCI;Service Corporation International Common Stock;United States;;Consumer Services;Other Consumer Services
SCKT;Socket Mobile Inc. Common Stock;United States;;Technology;Computer Manufacturing
SCL;Stepan Company Common Stock;United States;;Basic Industries;Package Goods/Cosmetics
SCM;Stellus Capital Investment Corporation Common Stock;United States;2012;;
SCOAU;ScION Tech Growth I Unit;United Kingdom;2020;Finance;Business Services
SCOR;comScore Inc. Common Stock;United States;2018;Miscellaneous;Business Services
SCPE;SC Health Corporation Class A Ordinary Shares;;2019;Finance;Business Services
SCPE.U;SC Health Corporation Units;;2019;;
SCPE.WS;SC Health Corporation Warrants;;;;
SCPH;scPharmaceuticals Inc. Common Stock;United States;2017;Health Care;Major Pharmaceuticals
SCPL;SciPlay Corporation Class A Common Stock;United States;2019;Technology;EDP Services
SCPS;Scopus BioPharma Inc. Common Stock;United States;2020;Health Care;Major Pharmaceuticals
SCS;Steelcase Inc. Common Stock;United States;1998;Consumer Durables;Office Equipment/Supplies/Services
SCSC;ScanSource Inc. Common Stock;United States;;Technology;Retail: Computer Software & Peripheral Equipment
SCU;Sculptor Capital Management Inc. Class A Common Stock;United States;;Finance;Investment Managers
SCVL;Shoe Carnival Inc. Common Stock;United States;1993;Consumer Services;Clothing/Shoe/Accessory Stores
SCVX;SCVX Corp. Class A Ordinary Shares;;2020;Finance;Business Services
SCVX.U;SCVX Corp. Units each consisting of one Class A ordinary share $0.0001 par value per share and one-half of one redeemable warrant;;2020;;
